Fun_x_in_m	Fun_Bx_average_in_mT	Fun_By_average_in_mT	Fun_Bz_average_in_mT
-1.740000000000e-07	-1.522731560625e+01	6.681074117894e+00	-2.273896156832e+00
-1.720000000000e-07	-1.484470638398e+01	6.500708018314e+00	-2.214912608237e+00
-1.700000000000e-07	-1.447049611170e+01	6.327306943831e+00	-2.158187554591e+00
-1.680000000000e-07	-1.410442368658e+01	6.160561610607e+00	-2.103621908314e+00
-1.660000000000e-07	-1.374623785676e+01	6.000181549172e+00	-2.051122559933e+00
-1.640000000000e-07	-1.339568121380e+01	5.845884468750e+00	-2.000598905613e+00
-1.620000000000e-07	-1.305252060566e+01	5.697409041530e+00	-1.951967046478e+00
-1.600000000000e-07	-1.271652186234e+01	5.554505606319e+00	-1.905146765827e+00
-1.580000000000e-07	-1.238746582530e+01	5.416938635600e+00	-1.860062339940e+00
-1.560000000000e-07	-1.206512493168e+01	5.284478996162e+00	-1.816640019347e+00
-1.540000000000e-07	-1.174929099380e+01	5.156915017229e+00	-1.774811666601e+00
-1.520000000000e-07	-1.143976487004e+01	5.034044994931e+00	-1.734512303840e+00
-1.500000000000e-07	-1.113633920041e+01	4.915672353860e+00	-1.695678539739e+00
-1.480000000000e-07	-1.083882452190e+01	4.801615579853e+00	-1.658251835417e+00
-1.460000000000e-07	-1.054703634979e+01	4.691699851281e+00	-1.622175760510e+00
-1.440000000000e-07	-1.026079651902e+01	4.585760922305e+00	-1.587397283235e+00
-1.420000000000e-07	-9.979921760940e+00	4.483637897943e+00	-1.553864398701e+00
-1.400000000000e-07	-9.704248002072e+00	4.385181811549e+00	-1.521528949105e+00
-1.380000000000e-07	-9.433608666807e+00	4.290249987318e+00	-1.490344787160e+00
-1.360000000000e-07	-9.167847983893e+00	4.198706599326e+00	-1.460267953579e+00
-1.340000000000e-07	-8.906807066494e+00	4.110420754150e+00	-1.431256059670e+00
-1.320000000000e-07	-8.650336572741e+00	4.025269810165e+00	-1.403269380204e+00
-1.300000000000e-07	-8.398293298939e+00	3.943135707919e+00	-1.376269646406e+00
-1.280000000000e-07	-8.150538124012e+00	3.863907651672e+00	-1.350220939582e+00
-1.260000000000e-07	-7.906927229701e+00	3.787476464798e+00	-1.325087832206e+00
-1.240000000000e-07	-7.667333162993e+00	3.713741054386e+00	-1.300837516382e+00
-1.220000000000e-07	-7.431624912067e+00	3.642604570602e+00	-1.277438550392e+00
-1.200000000000e-07	-7.199682478480e+00	3.573974936441e+00	-1.254861026630e+00
-1.180000000000e-07	-6.971377973009e+00	3.507761712769e+00	-1.233075548880e+00
-1.160000000000e-07	-6.746595162000e+00	3.443881759454e+00	-1.212055097009e+00
-1.140000000000e-07	-6.525221994536e+00	3.382254085381e+00	-1.191773328422e+00
-1.120000000000e-07	-6.307148628262e+00	3.322802904329e+00	-1.172205594367e+00
-1.100000000000e-07	-6.092260851485e+00	3.265453093661e+00	-1.153327440722e+00
-1.080000000000e-07	-5.880458660272e+00	3.210135069563e+00	-1.135116214185e+00
-1.060000000000e-07	-5.671637543085e+00	3.156782300059e+00	-1.117550251708e+00
-1.040000000000e-07	-5.465703028083e+00	3.105331220209e+00	-1.100608845040e+00
-1.020000000000e-07	-5.262552751292e+00	3.055719273701e+00	-1.084271603495e+00
